2023-04-26-18:55:02 Hit API Page 1, got 50 data
2023-04-26-18:55:04 Hit API Page 2, got 50 data
2023-04-26-18:55:27 Hit API Page 3, got 50 data
2023-04-26-18:55:28 Hit API Page 4, got 3 data
2023-04-26-18:55:28 Hit API Success, Writing file...
2023-04-26-18:55:30 Success writing file, got 153 file
2023-04-26-20:40:53 Hit API Page 1, got 50 data
2023-04-26-20:40:55 Hit API Page 2, got 50 data
2023-04-26-20:40:59 Hit API Page 3, got 50 data
2023-04-26-20:41:01 Hit API Page 4, got 3 data
2023-04-26-20:41:01 Hit API Success, Writing file...
2023-04-26-20:41:02 Success writing file, got 153 file
2023-06-12-08:10:17 Hit API Page 1, got 50 data

2023-06-12-08:10:19 Hit API Page 2, got 29 data

2023-06-12-08:10:19 Hit API Success, Writing file...

2023-06-12-08:10:28 Hit API Page 1, got 50 data

2023-06-12-08:10:29 Hit API Page 2, got 29 data

2023-06-12-08:10:29 Hit API Success, Writing file...

2023-06-12-08:10:29 Success writing file, got 79 file

2023-09-01-03:41:18 Hit API Page 1, got 50 data

2023-09-01-03:41:18 Hit API Page 2, got 50 data

2023-09-01-03:41:19 Hit API Page 3, got 9 data

2023-09-01-03:41:19 Hit API Success, Writing file...

2023-09-01-03:41:19 Success writing file, got 109 file

